Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1.oleDbConnection1_InfoMessage                            0             0             0             0             0             0             0             0             0
API精灵.Form1.memo_update                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.mysplip                                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_DoubleClick                                     0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyDown                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyPress                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseLeave                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_KeyDown                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_TextChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mydisp                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.autocomp                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.button1_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.Main                                                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent..ctor                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetEnumerator                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleted                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanging                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.CreateInstance                       0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeTables                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ReadXmlSerializable                                  0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeRelations                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitClass                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitVars                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleted                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanging             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleting                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleted              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewRowFromBuilder                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanged                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetRowType                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleting             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.FindById                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Fun_dllColumn                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.SchemaChanged                                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanged              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanged                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanging                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializewinapi                                0             0             0             0             0             0             0             0             0
API精灵.Form1.richTextBox1_MouseEnter                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.dlltext_TextChanged                                     4             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Count                            0             0             0             0             0             0             0             0             0
API精灵.AboutForm.timer1_Tick                                         1             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem2_Click                                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.Clone                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitVars                                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.GetSchemaSerializable                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Item                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_IdColumn                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitClass                                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.get_winapi                                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0

Ordered By Calls

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1.codememo_TextChanged                                  296             0             0             1             0             0             0             0             0
API精灵.Form1.dlltext_TextChanged                                     4             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseUp                                         2             0             0             0             0             0             0             0             0
API精灵.AboutForm.AboutForm_Load                                      1             1             1             1             1             0             0             0             0
API精灵.Form1.button4_Click                                           1             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_MouseDown                                      1             0             0             0             0             0             0             0             0
API精灵.AboutForm.timer1_Tick                                         1             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseLeave                                      1             0             0             0             0             0             0             0             0
API精灵.AboutForm.InitializeComponent                                 1             1             1             1             1             0             0             0             0
API精灵.AboutForm.Dispose                                             1            92            92            92            92             0             0             0             0
API精灵.Form1.mykeyword                                               1            45            45            45            45           281           281           281           281
API精灵.Form1..ctor                                                   1            22            22           250           250             1             1             1             1
API精灵.Form1.InitializeComponent                                     1           228           228           228           228             0             0             0             0
API精灵.AboutForm.button1_Click                                       1             2             2            94            94             1             1             1             1
API精灵.Form1.Dispose                                                 1            21            21            21            21             0             0             0             0
API精灵.AboutForm..ctor                                               1             2             2             3             3             1             1             1             1
API精灵.Form1.search_comp                                             1             4             4             6             6             1             1             1             1
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleted              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.FindById                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetRowType                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleting             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewRowFromBuilder                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanged                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ReadXmlSerializable                                  0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeTables                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeRelations                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.CreateInstance                       0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleted                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanging                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanging             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleting                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleted                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitClass                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitVars                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.GetSchemaSerializable                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitVars                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem2_Click                                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.Clone                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.get_winapi                                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitClass                                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Item                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_IdColumn                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanged                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanging                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanged              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Fun_dllColumn                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.SchemaChanged                                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Count                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializewinapi                                0             0             0             0             0             0             0             0             0
API精灵.Form1.richTextBox1_MouseEnter                                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.Form1.isnull                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.mat_text_MouseDown                                      0             0             0             0             0             0             0             0             0
API精灵.Form1.mytips                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_SelectedIndexChanged                            0             0             0             0             0             0             0             0             0
API精灵.Form1.fun_update                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_DoubleClick                                     0             0             0             0             0             0             0             0             0
API精灵.Form1.mysplip                                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.oleDbConnection1_InfoMessage                            0             0             0             0             0             0             0             0             0
API精灵.Form1.memo_update                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.button2_Click                                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.IsFun_dllNull                              0             0             0             0             0             0             0             0             0
API精灵.Form1.timer1_Tick                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.e_add_CheckedChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem1_Click                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.select_type_SelectedIndexChanged                        0             0             0             0             0             0             0             0             0
API精灵.Form1.initdatabase                                            0             0             0             0             0             0             0             0             0
API精灵.Form1.isenable                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.e_modify_CheckedChanged                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.mykeyword1                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyDown                                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetEnumerator                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.Form1.mydisp                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.autocomp                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_TextChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyPress                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_KeyDown                                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent..ctor                           0             0             0             0             0             0             0             0             0
API精灵.Form1.button1_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.Main                                                    0             0             0             0             0             0             0             0             0

Ordered By Method Name

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.AboutForm..ctor                                               1             2             2             3             3             1             1             1             1
API精灵.AboutForm.AboutForm_Load                                      1             1             1             1             1             0             0             0             0
API精灵.AboutForm.button1_Click                                       1             2             2            94            94             1             1             1             1
API精灵.AboutForm.Dispose                                             1            92            92            92            92             0             0             0             0
API精灵.AboutForm.InitializeComponent                                 1             1             1             1             1             0             0             0             0
API精灵.AboutForm.timer1_Tick                                         1             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1..ctor                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.Clone                                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.get_winapi                                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.GetSchemaSerializable                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitClass                                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.InitVars                                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ReadXmlSerializable                                  0             0             0             0             0             0             0             0             0
API精灵.DataSet1.SchemaChanged                                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeRelations                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializeTables                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.ShouldSerializewinapi                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable..ctor                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanged                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowChanging                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleted                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleting                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.CreateInstance                       0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.FindById                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Count                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Fun_dllColumn                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_IdColumn                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.get_Item                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetEnumerator                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetRowType                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitClass                            0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.InitVars                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewRowFromBuilder                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanged                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanging                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleted                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanged              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanging             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleted              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleting             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.IsFun_dllNull                              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent..ctor                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.Form1..ctor                                                   1            22            22           250           250             1             1             1             1
API精灵.Form1.autocomp                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.button1_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.button2_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.button4_Click                                           1             0             0             0             0             0             0             0             0
API精灵.Form1.codememo_TextChanged                                  296             0             0             1             0             0             0             0             0
API精灵.Form1.Dispose                                                 1            21            21            21            21             0             0             0             0
API精灵.Form1.dlltext_TextChanged                                     4             0             0             0             0             0             0             0             0
API精灵.Form1.e_add_CheckedChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.e_modify_CheckedChanged                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.fun_update                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.initdatabase                                            0             0             0             0             0             0             0             0             0
API精灵.Form1.InitializeComponent                                     1           228           228           228           228             0             0             0             0
API精灵.Form1.isenable                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.isnull                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.Main                                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mat_text_MouseDown                                      0             0             0             0             0             0             0             0             0
API精灵.Form1.memo_update                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem1_Click                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem2_Click                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.mydisp                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.mykeyword                                               1            45            45            45            45           281           281           281           281
API精灵.Form1.mykeyword1                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_KeyDown                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_MouseDown                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_TextChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mysplip                                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.mytips                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.oleDbConnection1_InfoMessage                            0             0             0             0             0             0             0             0             0
API精灵.Form1.richTextBox1_MouseEnter                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.search_comp                                             1             4             4             6             6             1             1             1             1
API精灵.Form1.select_type_SelectedIndexChanged                        0             0             0             0             0             0             0             0             0
API精灵.Form1.timer1_Tick                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_DoubleClick                                     0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyDown                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyPress                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseLeave                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseUp                                         2             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_SelectedIndexChanged                            0             0             0             0             0             0             0             0             0

